Algoritmo,WINDIFF,PK,ACURACY,PRECISION,RECALL,F1,AVR_SEGS_COUNT
MinCut,0.447082,0.390552,0.617312,0.602877,0.617989,0.584654,15.000000
MinCut,0.447082,0.390552,0.617312,0.602877,0.617989,0.584654,15.000000
