"",Pk,WD,A,P,R,F1
Sentenças,0.320,0.502,0.498,0.498,1.000,0.642
TT 20  3,0.275,0.469,0.531,0.514,0.937,0.640
C99 40 11 T,0.142,0.426,0.574,0.601,0.473,0.506
BayesSeg,0.148,0.414,0.586,0.599,0.526,0.528
MinCut,0.226,0.532,0.468,0.464,0.438,0.432
TextSeg,0.085,0.387,0.613,0.714,0.412,0.497
