#Docs:3900
#Topics:10
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-001.txt,1.5512847717953336E-97,2.4812580554958285E-61,1.5586694308504305E-6,3.432034968685648E-90,3.4706470503161735E-64,0.006239067067166709,2.0157984745247822E-112,3.1209009023251933E-96,7.024909323720781E-73,3.193841871278355E-85,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-002.txt,4.509545782841903E-109,2.970338613795579E-69,7.700662804909869E-4,6.307458083242423E-69,0.00512162733363811,1.376301449580104E-47,3.3079373705346857E-96,1.209170102936716E-4,1.0146021839370725E-92,3.2644906932735544E-82,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-003.txt,4.899997051495138E-87,1.0243464807759149E-102,0.0,0.0,7.495913933163227E-222,0.0,3.4268959057191686E-4,6.8295746039576305E-68,0.0,2.056523009614576E-90,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-004.txt,1.886646390608605E-43,2.0453130146163935E-122,0.0,0.0,5.0513160449567844E-83,3.771868880577978E-30,0.0011643935376729933,8.61477141075757E-4,0.0,2.6946440962241645E-36,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-005.txt,2.809612061202401E-4,5.0395273068585245E-201,1.7187752677894152E-267,0.0,3.5467314511410287E-25,2.1161723154697836E-12,6.180168073563473E-4,5.539802494554315E-4,0.0,1.2144047762272807E-147,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-006.txt,5.091210127601827E-4,0.0,2.1356884630587728E-26,1.308075450398962E-44,5.469891922388779E-11,2.377706703056501E-112,3.8865717643796514E-4,3.480436358481703E-5,2.4665343402721583E-152,3.9231876912974095E-8,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-007.txt,3.2100724140104575E-13,3.3832626259854627E-69,8.253129240270776E-4,1.533621228591678E-4,4.050495127746087E-4,2.1498010301868546E-65,5.1014326632414216E-26,2.942626891565003E-58,1.0109460420058696E-28,1.150638251195426E-36,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-008.txt,4.484291099015719E-4,4.1966552235881685E-4,0.0,3.248865864946867E-4,6.381074218155666E-12,5.012293967517773E-48,0.001738565458566971,4.80232574893722E-46,2.0209713099234168E-83,1.6191308226249198E-4,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-009.txt,3.9309027252947297E-4,1.455900562603056E-38,0.0,4.5022792961512125E-4,5.526803459553086E-49,2.0107413993395421E-4,7.170116247228104E-47,2.635155089243459E-49,6.93011560539454E-4,1.913371179676226E-4,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-010.txt,5.490969448026585E-4,2.24089423013018E-4,0.0,3.8673816395119737E-4,1.6129282403219724E-127,1.907592748237414E-129,0.0,1.2814567845598364E-4,2.129140026091486E-4,6.953528126573005E-25,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-011.txt,2.998315898597464E-4,1.541935196097197E-9,0.0,7.051584176320582E-4,3.205552113252088E-53,0.0,2.6432768811580035E-44,8.583087031996878E-52,8.033420865603472E-35,4.789025013133104E-4,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-012.txt,0.0,1.6643775551823542E-4,0.0,1.4771741744877654E-4,0.0,0.0,0.0,0.0,0.0,0.0,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-013.txt,0.0016618743132825796,3.555424027674679E-79,3.8237966077972756E-73,1.9384336229774743E-4,4.104687207894323E-76,9.54347269887393E-196,1.9545955662680914E-4,1.2558431546820166E-17,5.682921446770173E-134,5.579706462792652E-68,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-014.txt,9.093458134165023E-32,5.766436746992463E-4,1.5006595507627474E-123,3.008606189011757E-4,4.311008653435846E-4,5.908728215571523E-92,2.929792940989479E-30,2.6782001870060476E-7,4.259406861676581E-22,0.0014448077106869745,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-015.txt,8.772204455007602E-64,9.440357622143487E-76,9.688997201794601E-119,7.385870872438827E-4,0.0,0.0,0.0,0.0,5.342655209811162E-78,1.968450502846419E-52,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-016.txt,1.8028383862970277E-11,5.040409277106149E-4,2.2679144598123795E-4,1.3031986210383886E-63,4.516615725978014E-67,1.722108541658587E-117,6.648149603468682E-62,4.530642587062318E-13,1.13537889351523E-17,0.0015465063558091911,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-017.txt,3.1961528013562554E-31,2.57092948108883E-4,0.0,1.359460421741582E-25,5.301117253960633E-32,3.493971570952391E-126,2.9764346636747155E-4,4.227833081822959E-4,0.0,1.3127260017588449E-42,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-018.txt,2.3888450836037415E-63,1.6932297330701768E-44,0.0,4.012128671407934E-44,2.0457461906639817E-4,0.0,4.007499632714517E-4,1.792915261744744E-4,0.0,3.886129807723672E-49,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-019.txt,2.3667897529789447E-194,2.660190774967909E-42,1.7640665988200046E-4,8.608909448254968E-223,3.9077350116131276E-37,3.3730628316858434E-4,0.0,8.171312803939152E-4,1.8225690363884562E-23,8.746421891220211E-4,
