"",Pk,WD,A,P,R,F1
Sentenças,0.320,0.502,0.498,0.498,1.000,0.642
TT 20  3,0.275,0.469,0.531,0.514,0.937,0.640
C99 40 11 T,0.142,0.426,0.574,0.601,0.473,0.506
BayesSeg,0.160,0.381,0.619,0.606,0.693,0.624
MinCut,0.226,0.500,0.500,0.505,0.475,0.468
TextSeg,0.105,0.417,0.583,0.651,0.397,0.467
