Kappa,windiff,pk
0.338624,0.434783,0.391304
0.642857,0.347826,0.217391
0.418605,0.347826,0.304348
0.202899,0.869565,0.521739
0.688797,0.260870,0.217391
0.481328,0.391304,0.304348
0.397590,0.695652,0.391304
0.347826,0.782609,0.347826
0.338624,0.636364,0.545455
0.339623,0.954545,0.636364
0.705882,0.272727,0.272727
0.166667,1.636364,0.772727
0.519231,0.545455,0.500000
0.278846,0.727273,0.636364
0.193548,1.500000,0.772727
0.027778,1.863636,0.818182
0.642857,0.166667,0.166667
0.339623,0.291667,0.291667
0.363636,0.291667,0.291667
0.461538,0.291667,0.291667
0.561404,0.208333,0.208333
0.385965,0.291667,0.291667
0.375000,0.333333,0.333333
0.153846,0.458333,0.458333
0.418605,0.347826,0.304348
0.705882,0.173913,0.173913
0.363636,0.434783,0.347826
0.000000,0.956522,0.652174
0.347826,0.434783,0.434783
0.347826,0.391304,0.347826
0.328358,0.782609,0.521739
0.142857,1.043478,0.565217
0.202899,0.458333,0.458333
0.166667,0.500000,0.500000
0.461538,0.291667,0.291667
0.000000,0.583333,0.583333
0.411765,0.333333,0.333333
0.117647,0.500000,0.500000
0.426230,0.291667,0.291667
0.166667,0.416667,0.416667
0.688797,0.260870,0.217391
0.519231,0.347826,0.347826
0.561404,0.347826,0.260870
0.347826,0.434783,0.434783
0.411765,0.695652,0.391304
0.603175,0.304348,0.260870
0.316109,0.782609,0.521739
0.117647,1.043478,0.565217
0.481328,0.391304,0.304348
0.278846,0.478261,0.434783
0.385965,0.478261,0.347826
0.347826,0.391304,0.347826
0.117647,0.913043,0.565217
0.603175,0.304348,0.260870
0.164134,0.826087,0.521739
0.117647,1.000000,0.565217
0.397590,0.333333,0.333333
0.193548,0.458333,0.458333
0.375000,0.333333,0.333333
0.328358,0.375000,0.375000
0.426230,0.291667,0.291667
0.316109,0.375000,0.375000
0.164134,0.458333,0.458333
0.754098,0.125000,0.125000
0.347826,0.375000,0.375000
0.027778,0.583333,0.583333
0.153846,0.458333,0.458333
0.142857,0.500000,0.500000
0.166667,0.416667,0.416667
0.117647,0.500000,0.500000
0.117647,0.500000,0.500000
0.754098,0.125000,0.125000
