Kappa,windiff,pk
0.250000,0.550000,0.550000
0.454545,0.400000,0.400000
0.513514,0.500000,0.450000
0.225806,1.400000,0.750000
0.225806,1.250000,0.700000
0.909091,0.450000,0.450000
0.076923,1.200000,0.650000
0.076923,1.200000,0.600000
0.250000,0.318182,0.318182
0.250000,0.318182,0.318182
0.045455,0.500000,0.454545
0.250000,0.636364,0.590909
0.062500,0.818182,0.727273
0.875000,0.363636,0.363636
0.928571,0.636364,0.545455
0.928571,0.636364,0.545455
0.454545,0.400000,0.400000
0.250000,0.450000,0.450000
0.513514,0.500000,0.450000
0.225806,1.400000,0.750000
0.225806,1.250000,0.700000
0.909091,0.150000,0.150000
0.076923,1.200000,0.650000
0.846154,1.400000,0.800000
0.513514,0.272727,0.227273
0.045455,0.500000,0.454545
0.513514,0.272727,0.227273
0.353846,0.500000,0.409091
0.538462,0.409091,0.363636
0.189189,0.318182,0.272727
0.482759,0.409091,0.272727
0.275862,0.590909,0.454545
0.225806,0.347826,0.347826
0.250000,0.347826,0.347826
0.225806,0.347826,0.347826
0.353846,0.304348,0.304348
0.657143,0.173913,0.173913
0.838710,0.521739,0.521739
0.647059,0.173913,0.173913
0.647059,0.173913,0.173913
0.225806,0.347826,0.347826
0.062500,0.434783,0.434783
0.225806,0.347826,0.347826
0.538462,0.217391,0.217391
0.657143,0.173913,0.173913
0.032258,0.434783,0.434783
0.470588,0.260870,0.260870
0.470588,0.260870,0.260870
0.909091,0.450000,0.450000
0.875000,0.500000,0.500000
0.909091,0.150000,0.150000
0.189189,0.550000,0.500000
0.838710,1.350000,0.700000
0.032258,1.200000,0.650000
0.076923,1.250000,0.700000
0.076923,1.450000,0.850000
0.076923,0.347826,0.347826
0.928571,0.434783,0.434783
0.076923,0.347826,0.347826
0.482759,0.217391,0.217391
0.647059,0.173913,0.173913
0.470588,0.260870,0.260870
0.076923,0.347826,0.347826
0.812500,0.086957,0.086957
0.076923,0.347826,0.347826
0.928571,0.434783,0.434783
0.846154,0.434783,0.434783
0.275862,0.304348,0.304348
0.647059,0.173913,0.173913
0.470588,0.260870,0.260870
0.076923,0.347826,0.347826
0.812500,0.086957,0.086957
