Kappa,windiff,pk
0.926380,0.227273,0.181818
0.936170,0.250000,0.204545
0.396135,0.386364,0.318182
0.013605,3.318182,0.727273
0.023155,3.136364,0.704545
0.846626,0.022727,0.000000
0.103586,0.636364,0.386364
0.344978,0.454545,0.363636
0.926380,0.222222,0.200000
0.539877,0.088889,0.066667
0.115044,0.444444,0.377778
0.972603,2.822222,0.800000
0.982558,2.666667,0.777778
0.184783,0.200000,0.200000
0.067164,0.577778,0.422222
0.089069,0.511111,0.466667
0.936170,0.250000,0.204545
0.539877,0.068182,0.068182
0.154589,0.590909,0.477273
0.013605,3.431818,0.886364
0.023155,3.250000,0.863636
0.926380,0.227273,0.204545
0.103586,0.750000,0.545455
0.126638,0.613636,0.568182
0.396135,0.282609,0.260870
0.115044,0.369565,0.326087
0.154589,0.478261,0.413043
0.097222,2.065217,0.608696
0.193548,1.847826,0.500000
0.336283,0.304348,0.260870
0.503311,0.217391,0.108696
0.381625,0.239130,0.173913
0.013605,0.591837,0.591837
0.972603,0.612245,0.612245
0.013605,0.591837,0.591837
0.097222,0.530612,0.530612
0.508197,0.244898,0.244898
0.041096,0.571429,0.571429
0.014085,0.571429,0.571429
0.055944,0.551020,0.551020
0.023155,0.551020,0.551020
0.982558,0.571429,0.571429
0.023155,0.551020,0.551020
0.193548,0.448980,0.448980
0.508197,0.244898,0.244898
0.055233,0.530612,0.530612
0.186391,0.448980,0.448980
0.079529,0.510204,0.510204
0.846626,0.022222,0.000000
0.184783,0.200000,0.200000
0.926380,0.200000,0.177778
0.336283,0.377778,0.311111
0.041096,2.755556,0.733333
0.055233,2.600000,0.711111
0.067164,0.511111,0.355556
0.291498,0.355556,0.311111
0.103586,0.297872,0.276596
0.067164,0.425532,0.382979
0.103586,0.404255,0.361702
0.503311,0.170213,0.148936
0.014085,1.510638,0.595745
0.186391,1.276596,0.446809
0.067164,0.319149,0.276596
0.451411,0.191489,0.127660
0.344978,0.276596,0.234043
0.089069,0.404255,0.382979
0.126638,0.340426,0.319149
0.381625,0.234043,0.191489
0.055944,1.489362,0.638298
0.079529,1.340426,0.574468
0.291498,0.255319,0.234043
0.451411,0.191489,0.127660
