Kappa,windiff,pk
0.190476,0.466667,0.466667
0.468750,0.466667,0.200000
0.358491,0.466667,0.466667
0.260870,0.866667,0.533333
0.037736,0.533333,0.400000
0.679245,0.200000,0.200000
0.087805,1.400000,0.600000
0.123711,1.266667,0.533333
0.190476,0.466667,0.466667
0.203125,0.666667,0.400000
0.679245,0.266667,0.266667
0.049689,1.066667,0.733333
0.037736,0.600000,0.466667
0.679245,0.266667,0.266667
0.921951,1.600000,0.800000
0.948454,1.600000,0.866667
0.468750,0.250000,0.250000
0.203125,0.375000,0.375000
0.238806,0.375000,0.375000
0.657718,0.187500,0.187500
0.492537,0.250000,0.250000
0.492537,0.250000,0.250000
0.260870,0.437500,0.437500
0.139241,0.500000,0.500000
0.358491,0.250000,0.250000
0.679245,0.125000,0.125000
0.238806,0.375000,0.375000
0.232258,0.437500,0.437500
0.150000,0.375000,0.375000
0.716667,0.125000,0.125000
0.978142,0.687500,0.687500
0.034091,0.625000,0.625000
0.260870,0.437500,0.437500
0.049689,0.562500,0.562500
0.657718,0.187500,0.187500
0.232258,0.437500,0.437500
0.232258,0.437500,0.437500
0.232258,0.437500,0.437500
0.468750,0.250000,0.250000
0.351145,0.312500,0.312500
0.037736,0.375000,0.375000
0.037736,0.375000,0.375000
0.492537,0.250000,0.250000
0.150000,0.375000,0.375000
0.232258,0.437500,0.437500
0.150000,0.375000,0.375000
0.163934,0.562500,0.562500
0.034091,0.625000,0.625000
0.679245,0.125000,0.125000
0.679245,0.125000,0.125000
0.492537,0.250000,0.250000
0.716667,0.125000,0.125000
0.232258,0.437500,0.437500
0.150000,0.375000,0.375000
0.978142,0.687500,0.687500
0.034091,0.625000,0.625000
0.087805,0.687500,0.687500
0.921951,0.812500,0.812500
0.260870,0.437500,0.437500
0.978142,0.687500,0.687500
0.468750,0.250000,0.250000
0.163934,0.562500,0.562500
0.978142,0.687500,0.687500
0.821053,0.062500,0.062500
0.123711,0.625000,0.625000
0.948454,0.750000,0.750000
0.139241,0.500000,0.500000
0.034091,0.625000,0.625000
0.351145,0.312500,0.312500
0.034091,0.625000,0.625000
0.034091,0.625000,0.625000
0.821053,0.062500,0.062500
