Kappa,windiff,pk
0.131034,1.085106,0.510638
0.373134,0.063830,0.042553
0.058296,2.510638,0.744681
0.990991,5.340426,0.744681
0.011765,3.744681,0.744681
0.791045,0.191489,0.148936
0.086957,1.808511,0.638298
0.113924,1.425532,0.638298
0.131034,0.415094,0.358491
0.456311,0.339623,0.283019
0.061453,0.622642,0.490566
0.055814,1.396226,0.566038
0.169492,0.849057,0.471698
0.093851,0.358491,0.301887
0.358333,0.528302,0.283019
0.176471,0.566038,0.358491
0.373134,0.061224,0.061224
0.456311,0.775510,0.408163
0.023965,1.938776,0.795918
0.954751,4.142857,0.795918
0.140351,2.877551,0.775510
0.295597,0.204082,0.204082
0.052083,1.387755,0.612245
0.077844,1.163265,0.653061
0.058296,0.518519,0.481481
0.061453,0.500000,0.481481
0.023965,0.574074,0.537037
0.296651,0.740741,0.388889
0.579235,0.314815,0.203704
0.145969,0.481481,0.444444
0.465278,0.407407,0.277778
0.338182,0.425926,0.314815
0.990991,0.581818,0.581818
0.055814,0.527273,0.527273
0.954751,0.600000,0.600000
0.296651,0.381818,0.381818
0.370000,0.327273,0.327273
0.018100,0.563636,0.563636
0.339623,0.363636,0.363636
0.149533,0.472727,0.472727
0.011765,0.436364,0.436364
0.169492,0.381818,0.381818
0.140351,0.381818,0.381818
0.579235,0.200000,0.200000
0.370000,0.327273,0.327273
0.058480,0.418182,0.418182
0.377778,0.290909,0.290909
0.292135,0.327273,0.327273
0.791045,0.142857,0.142857
0.093851,0.693878,0.326531
0.295597,0.204082,0.204082
0.145969,1.734694,0.591837
0.018100,3.979592,0.632653
0.058480,2.714286,0.612245
0.197917,1.224490,0.448980
0.245509,1.000000,0.489796
0.086957,0.407407,0.314815
0.358333,0.388889,0.277778
0.052083,0.462963,0.370370
0.465278,0.407407,0.277778
0.339623,0.740741,0.481481
0.377778,0.574074,0.407407
0.197917,0.370370,0.277778
0.661290,0.166667,0.148148
0.113924,0.528302,0.377358
0.176471,0.566038,0.358491
0.077844,0.566038,0.415094
0.338182,0.584906,0.396226
0.149533,1.283019,0.584906
0.292135,0.886792,0.490566
0.245509,0.471698,0.320755
0.661290,0.188679,0.150943
