Kappa,windiff,pk
0.863636,0.451613,0.419355
0.926380,0.225806,0.225806
0.318182,0.548387,0.354839
0.174528,0.806452,0.516129
0.200351,1.387097,0.580645
0.841629,0.032258,0.000000
0.379747,0.838710,0.451613
0.272997,0.709677,0.483871
0.863636,0.424242,0.393939
0.390244,0.272727,0.242424
0.928571,0.515152,0.484848
0.264706,0.424242,0.393939
0.096386,0.666667,0.454545
0.042553,0.393939,0.363636
0.000000,0.484848,0.393939
0.898305,0.545455,0.484848
0.926380,0.310345,0.310345
0.390244,0.862069,0.689655
0.146341,1.103448,0.689655
0.233577,1.482759,0.827586
0.134276,2.379310,0.896552
0.917526,0.344828,0.310345
0.078947,1.586207,0.758621
0.899371,1.310345,0.724138
0.318182,0.272727,0.272727
0.928571,0.515152,0.484848
0.146341,0.424242,0.424242
0.117647,0.575758,0.515152
0.216867,0.696970,0.454545
0.255319,0.303030,0.303030
0.153846,0.454545,0.393939
0.067797,0.393939,0.363636
0.174528,0.294118,0.294118
0.264706,0.294118,0.294118
0.233577,0.264706,0.264706
0.117647,0.352941,0.352941
0.586847,0.205882,0.205882
0.279176,0.264706,0.264706
0.388350,0.264706,0.264706
0.212679,0.323529,0.323529
0.200351,0.382353,0.382353
0.096386,0.441176,0.441176
0.134276,0.411765,0.411765
0.216867,0.382353,0.382353
0.586847,0.205882,0.205882
0.265734,0.352941,0.352941
0.406780,0.294118,0.294118
0.280822,0.352941,0.352941
0.841629,0.032258,0.000000
0.042553,0.419355,0.419355
0.917526,0.258065,0.225806
0.255319,0.580645,0.354839
0.279176,0.774194,0.516129
0.265734,1.354839,0.580645
0.317073,0.806452,0.451613
0.213483,0.741935,0.483871
0.379747,0.424242,0.363636
0.000000,0.484848,0.393939
0.078947,0.515152,0.454545
0.153846,0.454545,0.393939
0.388350,0.303030,0.242424
0.406780,0.363636,0.181818
0.317073,0.393939,0.333333
0.851064,0.121212,0.090909
0.272997,0.363636,0.333333
0.898305,0.545455,0.484848
0.899371,0.515152,0.484848
0.067797,0.393939,0.363636
0.212679,0.363636,0.333333
0.280822,0.484848,0.272727
0.213483,0.393939,0.363636
0.851064,0.121212,0.090909
