Kappa,windiff,pk
0.113636,0.434783,0.434783
0.511278,0.565217,0.304348
0.597938,0.217391,0.173913
0.153846,1.086957,0.521739
0.071429,1.478261,0.565217
0.509434,0.434783,0.347826
0.450704,0.695652,0.347826
0.397351,0.869565,0.304348
0.113636,0.434783,0.434783
0.924812,0.913043,0.652174
0.329897,0.478261,0.434783
0.153846,1.173913,0.608696
0.071429,1.478261,0.565217
0.264151,0.695652,0.608696
0.901408,0.956522,0.608696
0.880795,1.217391,0.652174
0.511278,0.200000,0.200000
0.924812,0.440000,0.440000
0.240876,0.320000,0.320000
0.538462,0.240000,0.240000
0.353591,0.360000,0.360000
0.539007,0.200000,0.200000
0.917197,0.040000,0.040000
0.677019,0.160000,0.160000
0.597938,0.166667,0.166667
0.329897,0.375000,0.375000
0.240876,0.583333,0.458333
0.384615,0.625000,0.375000
0.259067,0.875000,0.458333
0.424779,0.375000,0.375000
0.193103,0.666667,0.500000
0.150327,0.750000,0.458333
0.153846,0.440000,0.440000
0.153846,0.440000,0.440000
0.538462,0.240000,0.240000
0.384615,0.320000,0.320000
0.769231,0.120000,0.120000
0.461538,0.280000,0.280000
0.615385,0.200000,0.200000
0.538462,0.240000,0.240000
0.071429,0.560000,0.560000
0.071429,0.560000,0.560000
0.353591,0.360000,0.360000
0.259067,0.440000,0.440000
0.769231,0.120000,0.120000
0.315789,0.400000,0.400000
0.415730,0.320000,0.320000
0.331429,0.360000,0.360000
0.509434,0.291667,0.291667
0.264151,0.500000,0.500000
0.539007,0.291667,0.166667
0.424779,0.375000,0.375000
0.461538,0.583333,0.333333
0.315789,0.833333,0.416667
0.472973,0.375000,0.208333
0.412903,0.541667,0.250000
0.450704,0.240000,0.240000
0.901408,0.480000,0.480000
0.917197,0.040000,0.040000
0.193103,0.360000,0.360000
0.615385,0.200000,0.200000
0.415730,0.320000,0.320000
0.472973,0.240000,0.240000
0.760736,0.120000,0.120000
0.397351,0.280000,0.280000
0.880795,0.520000,0.520000
0.677019,0.160000,0.160000
0.150327,0.400000,0.400000
0.538462,0.240000,0.240000
0.331429,0.360000,0.360000
0.412903,0.280000,0.280000
0.760736,0.120000,0.120000
