Kappa,windiff,pk
0.504762,0.291667,0.291667
0.785124,0.166667,0.166667
0.123596,0.458333,0.416667
0.338983,0.708333,0.541667
0.294574,0.541667,0.458333
0.620438,0.333333,0.250000
0.223881,1.000000,0.625000
0.384615,0.666667,0.500000
0.504762,0.291667,0.291667
0.355372,0.375000,0.375000
0.123596,0.333333,0.291667
0.338983,0.750000,0.583333
0.294574,0.583333,0.500000
0.240876,0.625000,0.541667
0.094527,1.041667,0.666667
0.076923,0.875000,0.708333
0.785124,0.166667,0.166667
0.355372,0.375000,0.375000
0.284404,0.458333,0.416667
0.480000,0.541667,0.375000
0.532374,0.375000,0.291667
0.462069,0.416667,0.333333
0.326425,0.833333,0.458333
0.384615,0.666667,0.500000
0.123596,0.652174,0.521739
0.123596,0.478261,0.347826
0.284404,0.608696,0.521739
0.201117,1.217391,0.695652
0.235294,0.652174,0.608696
0.992248,1.130435,0.782609
0.129187,1.695652,0.695652
0.923077,1.391304,0.739130
0.338983,0.360000,0.360000
0.338983,0.360000,0.360000
0.480000,0.280000,0.280000
0.201117,0.440000,0.440000
0.402299,0.320000,0.320000
0.473988,0.280000,0.280000
0.606061,0.200000,0.200000
0.461538,0.280000,0.280000
0.294574,0.280000,0.280000
0.294574,0.280000,0.280000
0.532374,0.200000,0.200000
0.235294,0.280000,0.280000
0.402299,0.320000,0.320000
0.214765,0.360000,0.360000
0.243386,0.440000,0.440000
0.307692,0.360000,0.360000
0.620438,0.160000,0.160000
0.240876,0.320000,0.320000
0.462069,0.240000,0.240000
0.992248,0.400000,0.400000
0.473988,0.280000,0.280000
0.214765,0.360000,0.360000
0.297297,0.400000,0.400000
0.538462,0.240000,0.240000
0.223881,0.480000,0.480000
0.094527,0.560000,0.560000
0.326425,0.400000,0.400000
0.129187,0.560000,0.560000
0.606061,0.200000,0.200000
0.243386,0.440000,0.440000
0.297297,0.400000,0.400000
0.538462,0.240000,0.240000
0.384615,0.320000,0.320000
0.076923,0.480000,0.480000
0.384615,0.320000,0.320000
0.923077,0.560000,0.560000
0.461538,0.280000,0.280000
0.307692,0.360000,0.360000
0.538462,0.240000,0.240000
0.538462,0.240000,0.240000
