#Terms:1869
#Topics:70
cancelamento,2.3086923660428386E-4,3.9476958849213794E-4,4.851559011919701E-4,8.218450379413805E-4,7.631671845451411E-4,1.8779462304482957E-4,6.164470264660543E-4,6.251264055047244E-4,3.438248711787833E-4,0.004238486109711028,6.487472474009222E-4,6.235758854125966E-4,2.9500211939380164E-4,5.839358047372552E-4,6.337210213537308E-4,4.306460325212172E-5,3.839612096009027E-4,4.3565967915974995E-4,5.652425514279738E-4,5.896489224912427E-4,3.806110627773284E-5,2.3110386390125083E-4,6.046346190549599E-4,6.323088984554483E-4,2.746027759899127E-4,6.376366495006283E-4,0.0032687865684823594,5.117859992348159E-4,2.9367870178117247E-4,6.337124904833652E-4,4.1576877148655233E-4,1.030187340069481E-4,4.1100043575136095E-4,9.882233065133845E-5,6.477753406811777E-4,4.687337186817111E-4,6.654615791048064E-4,2.7030529524683933E-4,2.016717843904165E-4,5.925610250746247E-4,4.508090021823966E-4,1.9413167867696202E-4,5.307523216958792E-4,5.230561393933677E-4,6.170357872759275E-4,6.387382523721187E-4,6.808579924994872E-4,5.7080722888694755E-5,5.593556250621276E-4,3.336145390004433E-4,2.1580377889108822E-4,6.665775493966754E-4,7.297178931862266E-4,1.2880521421604563E-4,5.574184799712497E-4,1.5991649080841343E-4,8.248994084770349E-4,8.604771831232642E-5,1.3092580026934298E-4,8.41408803841726E-4,5.49974387525602E-4,1.7363750925973963E-4,4.073559516287655E-4,7.786382937299241E-4,5.090865654907374E-4,3.7695324799213406E-4,1.3670111712974718E-4,7.109531874290419E-4,4.032742819046457E-4,6.652564738480394E-4,
governo,2.0652490559474316E-4,2.722503057243649E-4,2.9037992124247814E-4,3.941859118061235E-4,3.997534748453424E-4,2.005946453342522E-4,1.9611908736994962E-4,4.0120405843953625E-4,2.5620337993046175E-4,2.1872977027983032E-4,4.2169626002147657E-4,4.035122678722739E-4,2.1315862458218105E-4,4.118119054057478E-4,4.0185424071952596E-4,3.756797552882361E-5,1.5516298190398428E-4,2.3242193850356955E-4,4.043889533041485E-4,4.696972779392639E-4,3.7691529541146286E-5,1.5015127408300654E-4,3.766019544828318E-4,4.181575421730599E-4,1.935381812821474E-4,3.3877051126577056E-4,2.0999862822670528E-4,3.8870480146741427E-4,2.3423526583406576E-4,3.9437363986816144E-4,1.9630588533237818E-4,7.29756627699427E-5,2.3988554198162783E-4,9.887221624701354E-5,3.8657441706501603E-4,1.64063904907003E-4,4.1811629616134247E-4,2.1407289494354854E-4,1.4379563383585623E-4,4.186361578435258E-4,1.1831284166988204E-4,1.6569918937698396E-4,2.8080751657080826E-4,3.623165140444622E-4,3.894540796431411E-4,3.8180594228301196E-4,4.109909718473336E-4,4.967863511152822E-5,3.665980518984293E-4,2.4985058785486307E-4,1.7162513888180488E-4,3.880616711389424E-4,3.890377417833876E-4,4.678310869593748E-4,4.0293245717724495E-4,1.8272730752662487E-4,3.670594336608689E-4,8.134773787894968E-5,9.232128077107165E-5,3.94719790177856E-4,1.5614731800693877E-4,1.3364743594213355E-4,2.560892376458472E-4,3.8410061976094326E-4,4.331253413614798E-4,2.2689196738274488E-4,1.2453924711257222E-4,3.8997260206914545E-4,3.3177653526878236E-4,4.0561636364080364E-4,
pretende,4.5467150159481145E-4,6.563236759650243E-4,9.231584837236217E-4,0.0010671497727969415,7.68315436894523E-4,0.0010969142327314344,3.2421957652335867E-4,0.0011748644348644323,4.203414110448539E-4,1.4903342354198278E-4,9.145240593805367E-4,9.230074668706268E-4,5.377366863648229E-4,0.001144924272521874,9.112059929681516E-4,3.9785311319147964E-5,5.037304555617297E-4,6.860416851865747E-4,0.0015299319765786153,9.266700277502269E-4,4.2144391772432524E-5,3.6204125726483683E-4,9.270282568632843E-4,7.797256130584808E-4,1.7605076597453567E-4,0.0010753758037433973,2.739590293683002E-4,0.0011799809699295331,3.295894406753315E-4,9.468456998067636E-4,3.2095523404680916E-4,7.208004455262166E-4,4.913520441205157E-4,1.0931173880520904E-4,0.0010790730096209048,5.484454846869366E-4,8.855437023710376E-4,3.335109495190835E-4,2.781830516537526E-4,0.0014451900092562057,1.4643873592605218E-4,2.2033919659078714E-4,5.353006282601257E-4,6.263340115254223E-4,9.50949282528456E-4,0.0011105776205910343,7.11011008971395E-4,6.267810810853882E-5,8.068886756196148E-4,6.758606453810376E-4,9.51610340552116E-4,0.0011380820491314325,0.0010740265794899726,1.157760460669405E-4,0.0012620165445126905,5.711092609722179E-4,9.444923994824605E-4,1.0139114141254707E-4,1.8976079941003852E-4,0.0010156711202007583,2.2811500967828414E-4,1.8580667263238214E-4,3.716921317261275E-4,9.204639735312749E-4,7.942950536951432E-4,3.2096503556265405E-4,2.3119267470662967E-4,8.845834240507221E-4,0.0014466906729208692,9.069028612057832E-4,
confeccionado,1.48690132418133E-4,2.77012625261915E-4,2.810551552821357E-4,4.1880942711903927E-4,3.796525735565431E-4,1.5087507318254268E-4,1.993965414839361E-4,3.75012719249952E-4,2.9373982035080747E-4,1.1295198636080423E-4,4.4540570786262736E-4,3.7203668290918386E-4,2.2508328652747514E-4,3.718065377760832E-4,3.9824466164525656E-4,3.683491264105034E-5,1.882159997336001E-4,2.2206072731490218E-4,4.1304556765582633E-4,4.298418831565171E-4,4.2976179599333794E-5,1.3959763873459702E-4,3.188364224309616E-4,3.9128443531758427E-4,1.4913250880994031E-4,3.4550786801975E-4,2.4395022002766684E-4,3.6828992104888684E-4,2.46806127639323E-4,3.948004792793569E-4,1.9406722703408643E-4,3.356414121778128E-5,2.5670011094089623E-4,9.616542283453634E-5,4.110661563367128E-4,1.6743679621126405E-4,3.989307724526566E-4,2.0807073124240753E-4,1.479202980636129E-4,4.1382564487562874E-4,1.1611290570301208E-4,4.1325542456417116E-4,2.804182202629122E-4,3.7131549703037475E-4,3.438637545156851E-4,4.1554150023373563E-4,3.667662622684615E-4,5.565682866113831E-5,3.8097544817633353E-4,2.3417622347170607E-4,2.913796704642358E-4,4.434116515735164E-4,3.806445864488603E-4,8.53174177090267E-5,4.036962896762193E-4,1.9015385442924332E-4,3.8213188137651427E-4,1.6940593032579803E-4,9.33059904062481E-5,3.7287171713226496E-4,1.5400327766384173E-4,7.248805100567318E-4,2.3426771237264633E-4,3.976199315501278E-4,3.8188696076069193E-4,2.2257489112692192E-4,1.5377806469901964E-4,4.0551588579978184E-4,3.282810178424413E-4,3.603820656287683E-4,
solicitação,0.012922847522040194,4.930013907606715E-4,5.990817992377446E-4,8.375067664639812E-4,7.367814820905647E-4,2.0432457238395138E-4,9.891143314298095E-4,6.65245331628997E-4,5.105441801521724E-4,1.8390317379964467E-4,8.584555681863345E-4,0.0010395131744003504,3.9271056478083896E-4,8.199289702784596E-4,9.130122842710631E-4,4.3480298380623165E-5,3.082892304553764E-4,0.001108655539561633,0.0010223984960805045,7.368409696801824E-4,4.374614415044161E-5,2.1879135833557475E-4,4.0473540314303635E-4,9.556781371937772E-4,2.2850820971520935E-4,6.227498904583596E-4,3.455178818127053E-4,7.915927839381526E-4,3.995420826196591E-4,7.794507031110803E-4,0.007570067554578401,0.003541756099366563,3.526290344181261E-4,1.009188360011377E-4,7.271940033674522E-4,0.0014473509353076551,7.231425566631118E-4,2.7794645383597113E-4,1.871329915582812E-4,7.562472474390568E-4,1.3248807484810414E-4,4.63815527534979E-4,4.990411807468669E-4,6.452309981867036E-4,7.66087923999349E-4,9.028784123263268E-4,7.076768988802478E-4,6.547987019446784E-5,6.670778761497261E-4,4.146944009927085E-4,2.8370384311764553E-4,7.561698954481464E-4,7.357263849816423E-4,1.1789765359381949E-4,9.4676100359424E-4,2.2421751130777794E-4,8.066584799021889E-4,2.5310982157716676E-4,0.004315479862523142,8.916808441509595E-4,1.5797549460161008E-4,2.1804406973368243E-4,3.370133960367154E-4,9.16070936110355E-4,7.929280245064544E-4,8.441798642766394E-4,1.4275726933902933E-4,8.046846810390362E-4,6.522316024208647E-4,8.209219462026844E-4,
avançados,1.5608791653052022E-4,3.054682032284423E-4,2.689811426778019E-4,4.109536609000795E-4,4.2887510516063487E-4,1.4151907134556864E-4,2.0197102587900573E-4,4.025117924303847E-4,2.7949830042190056E-4,1.5157096736934428E-4,4.318198739219539E-4,4.191645012351289E-4,2.6015401644211873E-4,3.616248832238644E-4,4.0135596933919284E-4,3.756676538526409E-5,1.6259471116265064E-4,2.314660508097975E-4,4.0906214534969996E-4,3.9454972217445577E-4,3.80745536675125E-5,0.018388474753487132,3.0430062310730655E-4,3.9702497802314495E-4,3.722585859872663E-4,3.777123592732442E-4,2.2197009334845217E-4,4.0057158927632805E-4,2.2922253061667173E-4,3.9354340119851137E-4,2.2780901359770335E-4,3.7622902852569785E-5,2.858214621393408E-4,9.511717325455964E-5,4.1609005612903397E-4,1.382822606606422E-4,3.955081777419443E-4,2.1631363668079425E-4,1.5850622798232816E-4,4.259599402292656E-4,1.2042404231207576E-4,1.901312861730307E-4,3.0055445283530254E-4,3.8260331722808914E-4,4.0795729325349985E-4,4.1401406952897913E-4,3.989697220258472E-4,5.065032839941208E-5,4.00022163372451E-4,2.883613139450984E-4,2.423156230260323E-4,4.0028530377564565E-4,3.9056800829673504E-4,9.644234421434515E-5,3.887734478610943E-4,0.0016546444463180435,4.226359949841458E-4,8.444043085665917E-5,1.1291704746071856E-4,3.9052326914705234E-4,9.154545924066793E-5,1.3649877524307975E-4,2.45484145612537E-4,4.194799368749059E-4,4.2780552455246084E-4,2.482399017996985E-4,1.2688968894193324E-4,3.9629299259551324E-4,3.562831042516224E-4,4.202699910288863E-4,
téc,1.459198789862971E-4,2.7263717247142456E-4,2.969492462705801E-4,4.1318760125714794E-4,4.0040206600139874E-4,1.3473974086936682E-4,1.8396580962731757E-4,4.0381357273088837E-4,0.017961026362753003,1.1188813491004811E-4,3.6826774645819704E-4,3.909390398839751E-4,2.2512058261486373E-4,4.1548457335858813E-4,4.212410820546165E-4,3.794066295205048E-5,1.4924015037943498E-4,2.2416943834002747E-4,3.696509355505132E-4,3.9891724953798917E-4,3.920119298456556E-5,1.5797324985049015E-4,2.98398054658518E-4,3.948952284715349E-4,1.5593378345284164E-4,3.161486543185768E-4,2.133693425251236E-4,3.59133232065124E-4,2.3149512665711475E-4,4.236298756743924E-4,1.8502284574331893E-4,3.8596477308294784E-5,2.774915002091256E-4,1.0181061091715382E-4,4.021364476124184E-4,1.1878499931795467E-4,3.9263777052538535E-4,2.141026525410268E-4,1.4248535892210417E-4,3.9663770406475575E-4,1.1361587950806482E-4,1.7101865124308612E-4,2.979358313811001E-4,3.331610057207767E-4,3.789227554259428E-4,3.7991885964180325E-4,4.458235614955544E-4,5.067319881008753E-5,3.521150184009788E-4,2.778199735600381E-4,1.8147814069098767E-4,3.8987111255632106E-4,4.1188994745618173E-4,8.439063815108395E-5,3.756659285625837E-4,1.2308402243205594E-4,4.3576584648113113E-4,7.82813589361767E-5,9.330931859137021E-5,4.1170972395730406E-4,8.567425058823623E-5,1.273190764295801E-4,2.4297253448247517E-4,3.6628992453133214E-4,3.987240386743489E-4,2.2455272137296667E-4,1.2819418528429752E-4,3.599545210023655E-4,3.309114849346626E-4,4.4160322194094023E-4,
ccts,1.638545353783074E-4,2.8673678082967414E-4,2.985173025336442E-4,4.652466018893947E-4,4.582218880841377E-4,1.959343126611052E-4,3.383020522356452E-4,4.951634867099906E-4,3.627906710618196E-4,1.2169159463706598E-4,4.3496708382575474E-4,4.1916679784017436E-4,2.79653523413985E-4,3.851496307065216E-4,4.224855915689122E-4,3.757066686368267E-5,1.4879529654897539E-4,2.733275863738128E-4,6.604508054640098E-4,4.685485185313903E-4,3.8450504959581364E-5,1.5394451848319623E-4,2.9912183073410375E-4,4.362460842650424E-4,1.50451365589382E-4,3.9203154707861693E-4,2.060456518844116E-4,4.415389531901743E-4,2.7596667688096924E-4,4.8218649475991333E-4,1.9937848724439726E-4,3.140239156584811E-5,2.392212995264076E-4,1.0370554825842713E-4,5.163265253193305E-4,1.2023437539756224E-4,4.5779897261077245E-4,2.2978302633302306E-4,1.6155807165144038E-4,5.13091781408556E-4,1.192993975108788E-4,2.1119950702015922E-4,3.0086545222308655E-4,4.0230244170802465E-4,4.509218492284263E-4,5.348255464760452E-4,4.491017338943249E-4,5.017968710743738E-5,4.3326062782773607E-4,2.805704324518845E-4,1.9725019389446252E-4,4.450812848200022E-4,3.9705120594573794E-4,8.752621552096597E-5,4.604372105547847E-4,2.2206080375194483E-4,5.725598882396059E-4,1.1523691440458011E-4,1.4071137043242759E-4,4.5501956852506245E-4,6.800712230511598E-4,2.9476216569481877E-4,2.582251418825124E-4,4.8411813246637203E-4,4.919027870304762E-4,2.551265752001452E-4,1.2583005981208953E-4,3.8825432527867383E-4,4.825635633533459E-4,4.6327891553489146E-4,
obrigatória,1.4697259981119403E-4,3.0573840716941234E-4,2.8356743352393255E-4,4.028935175565491E-4,4.022606912513294E-4,1.4506145391697916E-4,1.9510873997111128E-4,4.079966939598297E-4,2.7407202252740284E-4,1.307451892690863E-4,5.137228520912547E-4,5.130552944953407E-4,2.1880888663370533E-4,4.226978950927231E-4,4.389263409140109E-4,4.2340215555760075E-5,1.495504250460878E-4,4.759092385341996E-4,4.227333424470385E-4,4.6382172920523374E-4,3.843223116120898E-5,5.849910239705579E-4,3.334389119327695E-4,4.261375208227338E-4,1.6492121532896573E-4,3.620855734273246E-4,2.2673417691703007E-4,4.358823457849925E-4,2.610629093364304E-4,4.129729435765422E-4,1.9818008758473217E-4,1.5548298919825572E-4,2.4143234754062752E-4,9.518708930230266E-5,4.0890024327827347E-4,3.072067872985933E-4,3.8994156624147134E-4,2.2352890719747073E-4,1.6404870811738181E-4,4.7474699509264263E-4,1.1925498941333365E-4,1.8477029177378225E-4,3.728403309291331E-4,3.50093314689033E-4,3.9789767279756265E-4,4.114788243386623E-4,4.321340248299546E-4,5.509786510579892E-5,4.545508639721558E-4,2.4973318149863386E-4,1.8419821880893226E-4,5.575380359420973E-4,3.695188966126429E-4,9.491014859702157E-5,5.094545297811489E-4,4.280423652808075E-4,4.489125702796941E-4,8.531765515682172E-5,0.0037873470167744607,4.0649677343820406E-4,9.239653787490713E-5,1.6970610743134685E-4,3.1170616424222754E-4,4.8625626953924017E-4,4.88518861739654E-4,2.1821383600415564E-4,1.257373143826724E-4,4.2016896632872456E-4,3.5366160545828075E-4,4.685121796400823E-4,
competência,1.4995681299843967E-4,3.187626426616588E-4,3.071122714027497E-4,4.2117191454622724E-4,3.64503305258443E-4,1.4805923755386593E-4,0.006499295962835523,3.6764661937877544E-4,2.61374291490125E-4,1.306067109913785E-4,4.179658143729784E-4,4.741969896712285E-4,2.347007733590792E-4,4.164696069611144E-4,4.072476200156651E-4,4.235683410554715E-5,1.630393111589609E-4,2.2564337640598985E-4,3.9421704827185243E-4,4.2857971238990537E-4,3.7691529541146286E-5,1.4248380886727454E-4,3.268211084001202E-4,4.482418763592958E-4,1.4869604544870331E-4,3.590042076394944E-4,2.192665328325809E-4,3.97528776151799E-4,2.483934804602862E-4,4.28586794258921E-4,2.0166791941998358E-4,4.7923509770922816E-5,2.418847955775186E-4,9.423361973073269E-5,3.7847379676115726E-4,1.4651738945208317E-4,3.8461264436896145E-4,2.0203862021087594E-4,1.6142504153337982E-4,4.1952301713944946E-4,1.1591466541212506E-4,1.6428154293868789E-4,2.957564011529551E-4,3.3978398767328536E-4,4.2941169588268707E-4,3.745979803567704E-4,3.860568643864584E-4,5.015922028075073E-5,4.444126596146814E-4,2.3916586687721214E-4,1.8248911474066167E-4,4.0891688844568985E-4,3.884613357525044E-4,8.517944879638449E-5,4.7286704258518367E-4,1.5628818306788329E-4,3.9954403383040657E-4,8.212969262140539E-5,1.0501794082821931E-4,4.229966533772495E-4,8.651144901625027E-5,1.9175800449352593E-4,3.277587904948684E-4,4.4560942761882606E-4,4.1410144388742036E-4,2.1630860891459E-4,1.2205542922499487E-4,4.6727648468615436E-4,3.255320870323878E-4,4.1490979815980017E-4,
