#Docs:3900
#Topics:50
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-001.txt,0.0,1.4392783620751895E-105,1.4692054791751986E-48,0.0,4.9732906879566415E-254,5.662265472001435E-104,2.17108308260706E-95,0.007619461261631521,7.721174901429273E-45,1.6216823420552293E-16,1.264417677141453E-127,2.704811241813339E-145,0.0012697514668006402,0.0,2.875418322910285E-122,1.1507978661930805E-143,1.5971559021050703E-55,6.141124188500402E-166,1.0691067259497076E-122,0.0,3.0278917937373013E-24,2.351093161186012E-66,0.0,4.280811717978427E-121,2.3443007068074664E-54,2.063333431173226E-4,1.0202490685851305E-126,5.521187298915639E-122,1.75E-321,9.760784216884159E-200,0.0,1.8468403333251929E-205,1.1703444808865982E-175,6.985917531366695E-213,2.5282754887823496E-98,9.469449786733288E-8,6.013955068647043E-85,1.0553457612030333E-63,0.0210574082420788,1.5324898147034899E-102,0.0,7.109670534275339E-19,0.0,6.802814387608474E-9,5.87988702142858E-150,0.0,3.014355373339298E-108,9.486645920979958E-96,9.578684779601058E-165,0.0024630471981154736,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-002.txt,1.1108081779574398E-55,1.2853140604584595E-54,1.269077338100373E-99,6.613256910538149E-98,0.0,1.0897423606247229E-166,5.694474009768009E-75,4.538588533493625E-79,0.023870240855343918,4.691522666130349E-32,3.5973645015196614E-90,0.0,1.0651793300640758E-20,0.0,1.4055788605369974E-101,3.0747007995005745E-40,1.8311812878954265E-69,3.535470722384519E-69,7.477851374275866E-164,0.0,7.495540669090255E-19,2.8340615814861766E-13,1.2924498380777966E-101,6.447725356935684E-197,4.656266930955916E-134,2.9334467950187014E-88,2.231526372628945E-65,2.764653670007023E-42,5.860448802683739E-142,5.998297277172332E-67,0.0,1.318766559451811E-151,2.258543514403055E-99,0.0,3.743082744875515E-103,1.2228282293416972E-102,6.284994279461618E-82,3.9626151004486675E-73,6.422643106410065E-67,5.79378139550338E-143,0.0,2.15750349364193E-111,3.961319843478527E-109,4.219654384204163E-87,7.419309779845775E-163,8.030825320116749E-127,9.759939486534083E-116,1.4871346849597886E-85,5.7182370376957044E-151,7.610530408179847E-66,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-003.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0019369177765863914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2957045606527146E-38,0.0,9.811751332704085E-120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7816569505002086E-77,4.423953461596432E-118,1.5323257796767822E-12,0.0,0.0,0.0,0.0,0.0,0.0,8.360590538088053E-211,0.0,0.0,0.0,0.0,1.9181730211066968E-175,2.7563684918990563E-242,0.0,0.0,0.0,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-004.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.175411008766378E-37,0.0,0.0,0.0,0.0,0.0,1.0495858439472276E-75,0.0,7.346160503885664E-91,0.0,0.0,0.0,0.0,0.0,5.82302805380108E-113,0.0,0.0023295826871200655,0.0,6.335379577364472E-272,0.0,0.0,0.0,0.0037700179595485683,0.0,1.6537667954524275E-226,1.3341820405161964E-176,0.002907079321090149,0.0023713926708664066,8.703895821056102E-27,0.0,0.0,4.660982334068373E-44,0.0,1.3907646471785466E-160,0.0,0.0,5.362355534996637E-41,5.726678180750324E-81,0.0,0.0,3.4126740066467376E-126,1.5501791829613599E-111,0.0,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-005.txt,0.0,0.0,0.0,0.0,0.0,1.0721988663966382E-211,0.0,1.1458811875527949E-154,1.1630453646504106E-73,0.0,2.4112985130320604E-162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666442640426817E-78,0.008653059679736116,2.950351680506751E-264,0.0,0.0,0.0,0.0,3.2260527035789923E-78,0.0,0.0,0.0,4.874024956008973E-63,1.1514073723607148E-113,0.0,0.0,1.6073804859310645E-123,0.0,0.0,3.044387790517169E-128,0.0,3.98164016444238E-133,6.647169425131504E-116,0.0,9.234670239120397E-159,0.0,2.5110636929918278E-57,1.1642832203566917E-141,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-006.txt,0.0,0.0,6.242323995249037E-83,0.0,0.0,0.0,0.002552105250122214,0.0,3.497340243507294E-42,0.0,2.097955117685939E-141,4.5729411459293726E-18,0.0,4.1301018548095357E-4,0.001851722278066932,5.114560398185099E-8,0.0,0.0,6.863746591197389E-125,1.7124329028993354E-198,3.280427370299964E-29,2.8476662036565342E-71,0.0,3.1521279840171294E-22,6.954134527162819E-45,9.344972769073552E-49,8.744779241612892E-70,2.971848834859475E-21,0.0,3.8739146187022937E-305,0.0,7.379789241654326E-54,2.1727931765003323E-174,0.0,1.0579578641691999E-46,0.0,0.0,6.5646069134042685E-229,1.738579436151149E-118,7.625717341720362E-4,2.6334984810714426E-58,0.0,0.0,0.0,2.863238820381344E-58,0.0,0.0,4.20896E-318,4.968907967797499E-140,9.558474191510438E-82,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-007.txt,3.5426816539783567E-308,2.089463660496017E-149,2.528961840999096E-49,0.0,1.6455519252997348E-148,1.846988848897643E-118,6.613799090071296E-4,1.0130001171429167E-153,3.8926011492045687E-10,0.0019206312485488101,1.00212988260574E-78,2.7709192535475184E-73,6.500852088254711E-4,2.863513274495968E-148,1.731312537901143E-30,6.375818632550759E-64,7.499090721869294E-235,0.0,1.5716322293578889E-171,2.4414382133349707E-46,2.931185442568355E-7,0.001154230324294634,0.0,2.2171735418487076E-135,1.6925061992835788E-22,3.358938637375263E-32,1.24651572390551E-20,0.0,3.859372483424779E-64,0.0,0.0,0.0,1.6185102985616024E-94,0.0,1.1538778415925568E-25,1.155780183413955E-131,3.1180575789880107E-78,1.3441330819233404E-57,9.865336888048707E-44,2.766087687332366E-100,0.0,6.798581062690226E-4,6.280554664643729E-4,1.486000596177559E-63,6.927051035603122E-132,0.0,0.0,6.263370907413463E-81,1.7274460497040466E-123,3.982585469877303E-78,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-008.txt,7.387472663246545E-4,4.2630617447950315E-196,0.0,0.0,0.0,5.54624730292376E-4,0.0,1.0031971593027634E-157,0.0,0.0,1.138853177178759E-157,1.1651853430644823E-51,0.0,0.0,0.0,3.1624114029350025E-271,0.0,0.0,7.622368692705816E-4,3.649110687074636E-5,0.0,1.617049292805883E-151,0.0,2.7609325520375132E-64,0.009922297706904266,7.47183700938696E-268,0.0025509716585859665,0.0,1.1139482463946759E-190,0.0,1.4578716068511522E-74,0.0,2.042018308172215E-113,6.76420649772642E-4,0.0,1.1592707812681723E-118,1.677977608472754E-64,0.0,3.378667836499294E-116,0.0,0.0,1.3510390351230622E-8,0.0,1.267293292809549E-134,8.027442290155106E-4,0.0,6.228897196083111E-59,7.674106420379518E-98,0.0019194064961821574,1.5384577408261926E-148,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-009.txt,0.0,3.189283019788929E-212,0.0,0.002329295026707955,0.0,6.359362736790871E-28,6.014254558898797E-4,9.528485024573979E-32,0.0,0.0,0.0,1.082490235225509E-86,0.0,1.5381901473740316E-137,4.034529591693351E-32,3.655878925939273E-69,0.0,0.0,0.0,1.6401023511000774E-24,0.0,4.4304206346634226E-104,0.0,0.0,8.688829664454515E-4,1.7233538629071927E-135,5.944088382293866E-78,0.0,2.82767178247107E-178,0.0,0.0,6.416936881285592E-4,6.989629065620519E-55,0.0,3.174695583324281E-10,2.4692052612259358E-27,9.068150982114822E-270,0.0,2.0067282683513938E-37,2.521856771500687E-21,0.0,0.0027100146486733053,6.28055467070835E-4,0.0010673906474462746,0.0,7.122453676508081E-4,0.0,0.0,0.0,3.7733731595965E-153,
01ª Reunião Extraordinária CoC-CCS 16-02-08.doc.txt_seg-010.txt,0.0,5.683433758960044E-107,0.0,2.5388754327413593E-21,4.059686160236704E-17,4.545422215700832E-52,0.0,7.232952808675435E-177,0.0,2.073928907919944E-174,0.002313743787091342,0.0,0.0,0.0,1.4355907710487973E-47,0.0,2.715368288075426E-223,9.003980709762144E-4,9.147292058418697E-4,2.5486062967504776E-43,0.0,0.0,1.5131334577E-314,0.0,5.61457404197076E-85,0.0,2.5902696852128993E-41,0.0,3.969937376335458E-123,0.0,0.0,1.150626937196007E-26,9.068829225978563E-45,0.0,0.0,0.0,9.532932551135721E-271,0.0,6.797916272E-314,0.0,6.471455638924378E-12,0.0030868612812250686,1.851381003294763E-92,0.0,3.6460347962196596E-97,7.749150934294236E-97,0.0,7.66895569083741E-90,9.340100201474434E-132,0.0,
